Date,Open,High,Low,Close,Adj Close,Volume
8/1/2009,38.84,40.490002,37.73,39.099998,20.778461,22967700
9/1/2009,39.119999,40.240002,38.400002,39.509998,20.99634,25708000
10/1/2009,39.459999,42.18,38.299999,41.16,21.873184,33220000
11/1/2009,40.450001,42.98,39.82,41.470001,22.037918,34754300
12/1/2009,42.380001,43.470001,41.299999,42.25,22.727816,27241400
1/1/2010,43.080002,43.130001,38.950001,39.009998,20.984901,41585000
2/1/2010,38.709999,39.59,36.709999,37.139999,19.978958,45454200
3/1/2010,36.75,39.25,36.66,38.52,21.035181,36847000
4/1/2010,38.470001,39.91,37.009998,37.290001,20.363489,40070700
5/1/2010,37.450001,37.580002,32.150002,33.459999,18.271986,47378600
6/1/2010,33.860001,36.650002,33.189999,34.009998,18.806459,46197000
7/1/2010,34.139999,38,33.549999,35.169998,19.447897,65886000
8/1/2010,35.630001,38.349998,35.540001,37.400002,20.945292,34320300
9/1/2010,38.630001,40.59,38.41,39.52,22.132572,42723200
10/1/2010,39.98,42.099998,39.02,39.040001,21.863754,39840800
11/1/2010,39.459999,40.990002,37.91,38.279999,21.712156,61219800
12/1/2010,38.400002,40.09,38.290001,39.220001,22.245323,29721500
1/1/2011,39.169998,39.900002,36.279999,36.330002,20.606136,59181400
2/1/2011,36.869999,39.310001,36.77,38.610001,21.899342,55068800
3/1/2011,38.470001,38.82,36.389999,38.41,22.135035,49776800
4/1/2011,38.490002,43.700001,38.439999,43.66,25.160522,53003900
5/1/2011,43.290001,44.099998,42.200001,43.459999,25.045261,52513800
6/1/2011,43.279999,43.41,40.549999,42.900002,25.024727,40390600
7/1/2011,42.549999,45.34,42.529999,44.419998,25.911386,47896000
8/1/2011,44.790001,44.82,38.759998,42.830002,24.9839,101555800
9/1/2011,42.880001,43.200001,39.919998,41.290001,24.373726,65058000
10/1/2011,40.830002,45.68,40.080002,44.790001,26.439802,69096100
11/1/2011,43.689999,45.09,41.5,44.48,26.256796,59058700
12/1/2011,44.52,45.849998,43.68,45.630001,27.272984,45321000
1/1/2012,46.049999,46.5,43.619999,44.540001,26.621502,49317100
2/1/2012,44.98,45.57,44.07,44.310001,26.484028,48460200
3/1/2012,44.66,45.799999,44,44.91,27.337111,41750300
4/1/2012,45.200001,47.48,44.470001,46.23,28.14061,51286900
5/1/2012,46.709999,46.939999,43.549999,44.110001,26.850143,47141700
6/1/2012,43.799999,46.360001,43.299999,45.57,28.069771,49661700
7/1/2012,45.619999,46.790001,43.77,46,28.334633,51862100
8/1/2012,46.380001,47.400002,45.259998,45.490002,28.020491,42004200
9/1/2012,45.09,47.5,44.950001,46.240002,28.804897,34955000
10/1/2012,46.669998,47.700001,44.619999,44.900002,27.970163,41709100
11/1/2012,45.029999,45.049999,41.68,43.009998,26.792791,56089600
12/1/2012,43,44.540001,42.990002,43.470001,27.450615,55489900
1/1/2013,44.259998,45.959999,43.75,45.610001,28.801994,46281800
2/1/2013,45.810001,46,43.98,44.029999,27.804237,47538200
3/1/2013,43.759998,47.080002,43.68,46.91,30.073555,48003300
4/1/2013,46.599998,52.540001,46.380001,51.639999,33.105919,79018500
5/1/2013,51.57,54,50.59,51.77,33.18927,46560500
6/1/2013,52.150002,53.459999,48.299999,49.970001,32.382881,56370200
7/1/2013,50.580002,52.98,50.189999,50.959999,33.024445,39153700
8/1/2013,51.66,52.459999,50.75,50.889999,32.979099,46182600
9/1/2013,52.130001,52.169998,49.959999,50.169998,32.862797,49294500
10/1/2013,50.349998,52.950001,49.009998,52.630001,34.474171,51527700
11/1/2013,52.52,53.779999,51.52,52.919998,34.664124,58068500
12/1/2013,53.009998,53.389999,50.5,53.389999,35.389763,41654300
1/1/2014,52.889999,55.07,51.040001,51.540001,34.163494,50251000
2/1/2014,51.849998,56.73,50.650002,55.939999,37.080048,51328600
3/1/2014,55.490002,56.599998,52.599998,53.43,35.891376,43126100
4/1/2014,52.84,56.48,51.389999,55.369999,37.194557,59612700
5/1/2014,55.330002,55.630001,53.779999,53.939999,36.233967,59908900
6/1/2014,53.529999,54.75,53.02,53.48,36.343906,37764500
7/1/2014,54.34,54.779999,48.009998,48.369999,32.871254,87739000
