outbreak_year,outbreak_month,illnesses,hospitalizations,fatalities,Date,Close
2006,May,4315,93.0,0.0,5/1/2006,55.299999
2006,June,1974,81.0,0.0,6/1/2006,55.799999
2006,July,1580,91.0,1.0,7/1/2006,55.330002
2006,August,2428,302.0,6.0,8/1/2006,56.779999
2006,September,1131,73.0,2.0,9/1/2006,53.23
2006,October,1535,51.0,0.0,10/1/2006,53.25
2006,November,3047,192.0,0.0,11/1/2006,53.130001
2006,December,2805,50.0,0.0,12/1/2006,52.759997999999996
2007,January,2749,71.0,1.0,1/1/2007,54.130001
2007,February,2509,165.0,5.0,2/1/2007,56.139998999999996
2007,March,1216,69.0,1.0,3/1/2007,55.259997999999996
2007,April,1572,56.0,1.0,4/1/2007,57.779999
2007,May,1468,46.0,1.0,5/1/2007,52.18
2007,June,2163,118.0,4.0,6/1/2007,52.369999
2007,July,2215,98.0,1.0,7/1/2007,51.080002
2007,August,1413,60.0,0.0,8/1/2007,52.220001
2007,September,1265,50.0,0.0,9/1/2007,53.200001
2007,October,1301,46.0,3.0,10/1/2007,51.25
2007,November,1512,51.0,1.0,11/1/2007,52.68
2007,December,1587,47.0,0.0,12/1/2007,50.389998999999996
2008,January,1199,24.0,0.0,1/1/2008,47.380001
2008,February,1162,42.0,0.0,2/1/2008,43.91
2008,March,2052,75.0,2.0,3/1/2008,42.43
2008,April,4303,354.0,2.0,4/1/2008,44.110001000000004
2008,May,1478,77.0,0.0,5/1/2008,44.529999
2008,June,1507,82.0,0.0,6/1/2008,44.220001
2008,July,1980,54.0,2.0,7/1/2008,46.560001
2008,August,2414,174.0,5.0,8/1/2008,46.970001
2008,September,1581,199.0,9.0,9/1/2008,43.459998999999996
2008,October,2259,74.0,0.0,10/1/2008,38.700001
2008,November,1309,50.0,0.0,11/1/2008,34.439999
2008,December,1845,45.0,2.0,12/1/2008,37.27
2009,January,1417,21.0,0.0,1/1/2009,35.259997999999996
2009,February,1369,31.0,1.0,2/1/2009,30.129998999999998
2009,March,1325,84.0,0.0,3/1/2009,31.07
2009,April,1069,42.0,0.0,4/1/2009,30.76
2009,May,1249,41.0,2.0,5/1/2009,33.709998999999996
2009,June,1282,61.0,0.0,6/1/2009,35.34
2009,July,1327,88.0,1.0,7/1/2009,38.290001000000004
2009,August,853,82.0,2.0,8/1/2009,39.099998
2009,September,718,25.0,0.0,9/1/2009,39.509997999999996
2009,October,624,13.0,1.0,10/1/2009,41.16
2009,November,1479,32.0,0.0,11/1/2009,41.470001
2009,December,1101,26.0,0.0,12/1/2009,42.25
2010,January,1464,42.0,8.0,1/1/2010,39.009997999999996
2010,February,3654,31.0,1.0,2/1/2010,37.139998999999996
2010,March,926,35.0,1.0,3/1/2010,38.52
2010,April,2032,120.0,0.0,4/1/2010,37.290001000000004
2010,May,1069,34.0,3.0,5/1/2010,33.459998999999996
2010,June,1028,89.0,5.0,6/1/2010,34.009997999999996
2010,July,1008,85.0,0.0,7/1/2010,35.169998
