Date,Open,High,Low,Close,Adj Close,Volume
2003-12-01,46.029999,46.680000,44.230000,46.619999,19.712822,21562100
2004-01-01,46.779999,47.250000,43.560001,44.000000,18.604990,23120900
2004-02-01,43.560001,45.360001,42.049999,42.619999,18.021477,44645300
2004-03-01,42.529999,42.639999,39.130001,39.950001,17.099998,41448400
2004-04-01,40.080002,42.849998,39.279999,42.000000,17.977478,35036800
2004-05-01,42.000000,43.669998,41.599998,42.450001,18.170088,20178000
2004-06-01,42.290001,43.330002,40.930000,41.459999,17.897295,24275400
2004-07-01,41.119999,41.470001,39.099998,40.950001,17.677139,23136500
2004-08-01,41.150002,41.740002,38.799999,41.139999,17.759155,23601900
2004-09-01,41.049999,43.939999,40.470001,43.730000,19.047613,24669800
2004-10-01,43.770000,44.250000,41.119999,42.400002,18.468296,25625700
2004-11-01,42.700001,45.130001,42.209999,42.540001,18.529276,27907500
2004-12-01,43.169998,47.529999,43.099998,47.389999,20.819193,32424700
2005-01-01,46.950001,47.590000,44.169998,44.570000,19.580324,30575000
2005-02-01,44.470001,49.450001,44.360001,48.220001,21.183819,25124800
2005-03-01,48.799999,51.919998,45.450001,45.919998,20.360046,45342600
2005-04-01,45.840000,50.980000,45.009998,50.549999,22.412909,35671000
2005-05-01,50.279999,51.709999,48.799999,49.700001,22.036034,25656500
2005-06-01,49.369999,50.650002,48.299999,48.509998,21.672415,21664200
2005-07-01,48.650002,48.779999,46.200001,47.439999,21.194399,22569000
2005-08-01,47.430000,48.740002,47.000000,48.720001,21.766254,23206800
2005-09-01,48.959999,51.349998,48.959999,51.279999,23.077799,20374500
2005-10-01,51.720001,52.750000,49.310001,51.990002,23.397327,27893700
2005-11-01,51.970001,53.799999,48.980000,49.570000,22.308239,32826000
2005-12-01,50.090000,52.599998,49.750000,50.480000,22.874290,23975500
2006-01-01,50.430000,53.049999,50.029999,51.240002,23.218683,25239700
2006-02-01,51.470001,52.450001,50.090000,50.820000,23.028351,25423700
2006-03-01,51.470001,54.980000,50.950001,52.310001,23.929455,28971200
2006-04-01,53.130001,57.099998,51.340000,56.880001,26.020021,24884600
2006-05-01,56.549999,58.400002,54.330002,55.299999,25.297239,27719500
2006-06-01,54.790001,56.660000,53.029999,55.799999,25.700460,26496700
2006-07-01,55.869999,57.189999,53.570000,55.330002,25.483999,22391200
2006-08-01,54.630001,57.099998,53.500000,56.779999,26.151848,25279400
2006-09-01,56.599998,56.970001,52.889999,53.230000,24.699837,24929900
2006-10-01,53.959999,56.869999,52.830002,53.250000,24.709114,33582900
2006-11-01,53.150002,54.500000,51.180000,53.130001,24.653435,32545100
2006-12-01,53.549999,53.740002,51.799999,52.759998,24.690863,20762000
2007-01-01,53.790001,56.110001,52.439999,54.130001,25.331999,32402600
2007-02-01,54.790001,58.740002,54.610001,56.139999,26.272652,38602100
2007-03-01,55.810001,56.380001,53.849998,55.259998,26.110085,33686200
2007-04-01,55.240002,59.980000,54.950001,57.779999,27.300789,29863300
2007-05-01,57.779999,58.330002,50.580002,52.180000,24.654812,63306600
2007-06-01,51.400002,53.770000,50.810001,52.369999,24.953281,61372100
2007-07-01,52.380001,53.689999,48.299999,51.080002,24.338629,54672800
2007-08-01,51.939999,54.080002,48.869999,52.220001,24.881813,58946200
2007-09-01,52.500000,54.520000,52.340000,53.200001,25.596811,25691400
2007-10-01,53.770000,54.529999,50.150002,51.250000,24.658590,36164400
2007-11-01,51.400002,53.450001,47.490002,52.680000,25.613258,38378200
2007-12-01,53.560001,54.169998,50.160000,50.389999,24.499855,32681700
2008-01-01,50.450001,54.639999,45.889999,47.380001,23.036379,49799500
2008-02-01,46.680000,47.180000,40.900002,43.910000,21.349247,56822900
2008-03-01,44.590000,44.610001,40.509998,42.430000,20.927332,40561700
2008-04-01,43.470001,45.419998,42.000000,44.110001,21.755945,35604400
2008-05-01,44.509998,45.730000,43.349998,44.529999,22.222746,27109100
2008-06-01,43.959999,45.410000,41.279999,44.220001,22.068037,30275100
2008-07-01,43.709999,49.480000,43.630001,46.560001,23.235825,55856100
